hash_oligo	hash_plate	cell_line	treatment	dose	replicate
plate10_A1	10	T98G	zstk474	10	replicate_2
plate10_B1	10	T98G	zstk474	10	replicate_2
plate10_C1	10	T98G	zstk474	10	replicate_2
plate10_D1	10	T98G	zstk474	10	replicate_2
plate10_E1	10	T98G	zstk474	1	replicate_2
plate10_F1	10	T98G	zstk474	1	replicate_2
plate10_G1	10	T98G	zstk474	1	replicate_2
plate10_H1	10	T98G	vehicle	0	replicate_2
plate10_A2	10	T98G	zstk474	10	replicate_2
plate10_B2	10	T98G	zstk474	10	replicate_2
plate10_C2	10	T98G	zstk474	10	replicate_2
plate10_D2	10	T98G	zstk474	10	replicate_2
plate10_E2	10	T98G	zstk474	1	replicate_2
plate10_F2	10	T98G	zstk474	1	replicate_2
plate10_G2	10	T98G	zstk474	1	replicate_2
plate10_H2	10	T98G	vehicle	0	replicate_2
plate10_A3	10	T98G	zstk474	10	replicate_2
plate10_B3	10	T98G	zstk474	10	replicate_2
plate10_C3	10	T98G	zstk474	10	replicate_2
plate10_D3	10	T98G	zstk474	10	replicate_2
plate10_E3	10	T98G	zstk474	1	replicate_2
plate10_F3	10	T98G	zstk474	1	replicate_2
plate10_G3	10	T98G	zstk474	1	replicate_2
plate10_H3	10	T98G	vehicle	0	replicate_2
plate10_A4	10	T98G	zstk474	10	replicate_2
plate10_B4	10	T98G	zstk474	10	replicate_2
plate10_C4	10	T98G	zstk474	10	replicate_2
plate10_D4	10	T98G	zstk474	10	replicate_2
plate10_E4	10	T98G	zstk474	1	replicate_2
plate10_F4	10	T98G	zstk474	1	replicate_2
plate10_G4	10	T98G	zstk474	1	replicate_2
plate10_H4	10	T98G	vehicle	0	replicate_2
plate10_A5	10	T98G	zstk474	10	replicate_2
plate10_B5	10	T98G	zstk474	10	replicate_2
plate10_C5	10	T98G	zstk474	10	replicate_2
plate10_D5	10	T98G	zstk474	10	replicate_2
plate10_E5	10	T98G	zstk474	1	replicate_2
plate10_F5	10	T98G	zstk474	1	replicate_2
plate10_G5	10	T98G	zstk474	1	replicate_2
plate10_H5	10	T98G	vehicle	0	replicate_2
plate10_A6	10	T98G	zstk474	10	replicate_2
plate10_B6	10	T98G	zstk474	10	replicate_2
plate10_C6	10	T98G	zstk474	10	replicate_2
plate10_D6	10	T98G	zstk474	10	replicate_2
plate10_E6	10	T98G	zstk474	1	replicate_2
plate10_F6	10	T98G	zstk474	1	replicate_2
plate10_G6	10	T98G	zstk474	1	replicate_2
plate10_H6	10	T98G	vehicle	0	replicate_2
plate10_A7	10	T98G	zstk474	10	replicate_2
plate10_B7	10	T98G	zstk474	10	replicate_2
plate10_C7	10	T98G	zstk474	10	replicate_2
plate10_D7	10	T98G	zstk474	10	replicate_2
plate10_E7	10	T98G	zstk474	1	replicate_2
plate10_F7	10	T98G	zstk474	1	replicate_2
plate10_G7	10	T98G	zstk474	1	replicate_2
plate10_H7	10	T98G	vehicle	0	replicate_2
plate10_A8	10	T98G	zstk474	10	replicate_2
plate10_B8	10	T98G	zstk474	10	replicate_2
plate10_C8	10	T98G	zstk474	10	replicate_2
plate10_D8	10	T98G	zstk474	10	replicate_2
plate10_E8	10	T98G	zstk474	1	replicate_2
plate10_F8	10	T98G	zstk474	1	replicate_2
plate10_G8	10	T98G	zstk474	1	replicate_2
plate10_H8	10	T98G	vehicle	0	replicate_2
plate10_A9	10	T98G	zstk474	10	replicate_2
plate10_B9	10	T98G	zstk474	10	replicate_2
plate10_C9	10	T98G	zstk474	10	replicate_2
plate10_D9	10	T98G	zstk474	10	replicate_2
plate10_E9	10	T98G	zstk474	1	replicate_2
plate10_F9	10	T98G	zstk474	1	replicate_2
plate10_G9	10	T98G	zstk474	1	replicate_2
plate10_H9	10	T98G	vehicle	0	replicate_2
plate10_A10	10	T98G	zstk474	10	replicate_2
plate10_B10	10	T98G	zstk474	10	replicate_2
plate10_C10	10	T98G	zstk474	10	replicate_2
plate10_D10	10	T98G	zstk474	10	replicate_2
plate10_E10	10	T98G	zstk474	1	replicate_2
plate10_F10	10	T98G	zstk474	1	replicate_2
plate10_G10	10	T98G	zstk474	1	replicate_2
plate10_H10	10	T98G	vehicle	0	replicate_2
plate10_A11	10	T98G	zstk474	10	replicate_2
plate10_B11	10	T98G	zstk474	10	replicate_2
plate10_C11	10	T98G	zstk474	10	replicate_2
plate10_D11	10	T98G	zstk474	10	replicate_2
plate10_E11	10	T98G	zstk474	1	replicate_2
plate10_F11	10	T98G	zstk474	1	replicate_2
plate10_G11	10	T98G	zstk474	1	replicate_2
plate10_H11	10	T98G	vehicle	0	replicate_2
plate10_A12	10	T98G	zstk474	10	replicate_2
plate10_B12	10	T98G	zstk474	10	replicate_2
plate10_C12	10	T98G	zstk474	10	replicate_2
plate10_D12	10	T98G	zstk474	10	replicate_2
plate10_E12	10	T98G	zstk474	1	replicate_2
plate10_F12	10	T98G	zstk474	1	replicate_2
plate10_G12	10	T98G	zstk474	1	replicate_2
plate10_H12	10	T98G	vehicle	0	replicate_2
plate14_A1	14	T98G	lapatinib	10	replicate_2
plate14_B1	14	T98G	lapatinib	10	replicate_2
plate14_C1	14	T98G	lapatinib	10	replicate_2
plate14_D1	14	T98G	lapatinib	10	replicate_2
plate14_E1	14	T98G	lapatinib	1	replicate_2
plate14_F1	14	T98G	lapatinib	1	replicate_2
plate14_G1	14	T98G	lapatinib	1	replicate_2
plate14_H1	14	T98G	vehicle	0	replicate_2
plate14_A2	14	T98G	lapatinib	10	replicate_2
plate14_B2	14	T98G	lapatinib	10	replicate_2
plate14_C2	14	T98G	lapatinib	10	replicate_2
plate14_D2	14	T98G	lapatinib	10	replicate_2
plate14_E2	14	T98G	lapatinib	1	replicate_2
plate14_F2	14	T98G	lapatinib	1	replicate_2
plate14_G2	14	T98G	lapatinib	1	replicate_2
plate14_H2	14	T98G	vehicle	0	replicate_2
plate14_A3	14	T98G	lapatinib	10	replicate_2
plate14_B3	14	T98G	lapatinib	10	replicate_2
plate14_C3	14	T98G	lapatinib	10	replicate_2
plate14_D3	14	T98G	lapatinib	10	replicate_2
plate14_E3	14	T98G	lapatinib	1	replicate_2
plate14_F3	14	T98G	lapatinib	1	replicate_2
plate14_G3	14	T98G	lapatinib	1	replicate_2
plate14_H3	14	T98G	vehicle	0	replicate_2
plate14_A4	14	T98G	lapatinib	10	replicate_2
plate14_B4	14	T98G	lapatinib	10	replicate_2
plate14_C4	14	T98G	lapatinib	10	replicate_2
plate14_D4	14	T98G	lapatinib	10	replicate_2
plate14_E4	14	T98G	lapatinib	1	replicate_2
plate14_F4	14	T98G	lapatinib	1	replicate_2
plate14_G4	14	T98G	lapatinib	1	replicate_2
plate14_H4	14	T98G	vehicle	0	replicate_2
plate14_A5	14	T98G	lapatinib	10	replicate_2
plate14_B5	14	T98G	lapatinib	10	replicate_2
plate14_C5	14	T98G	lapatinib	10	replicate_2
plate14_D5	14	T98G	lapatinib	10	replicate_2
plate14_E5	14	T98G	lapatinib	1	replicate_2
plate14_F5	14	T98G	lapatinib	1	replicate_2
plate14_G5	14	T98G	lapatinib	1	replicate_2
plate14_H5	14	T98G	vehicle	0	replicate_2
plate14_A6	14	T98G	lapatinib	10	replicate_2
plate14_B6	14	T98G	lapatinib	10	replicate_2
plate14_C6	14	T98G	lapatinib	10	replicate_2
plate14_D6	14	T98G	lapatinib	10	replicate_2
plate14_E6	14	T98G	lapatinib	1	replicate_2
plate14_F6	14	T98G	lapatinib	1	replicate_2
plate14_G6	14	T98G	lapatinib	1	replicate_2
plate14_H6	14	T98G	vehicle	0	replicate_2
plate14_A7	14	T98G	lapatinib	10	replicate_2
plate14_B7	14	T98G	lapatinib	10	replicate_2
plate14_C7	14	T98G	lapatinib	10	replicate_2
plate14_D7	14	T98G	lapatinib	10	replicate_2
plate14_E7	14	T98G	lapatinib	1	replicate_2
plate14_F7	14	T98G	lapatinib	1	replicate_2
plate14_G7	14	T98G	lapatinib	1	replicate_2
plate14_H7	14	T98G	vehicle	0	replicate_2
plate14_A8	14	T98G	lapatinib	10	replicate_2
plate14_B8	14	T98G	lapatinib	10	replicate_2
plate14_C8	14	T98G	lapatinib	10	replicate_2
plate14_D8	14	T98G	lapatinib	10	replicate_2
plate14_E8	14	T98G	lapatinib	1	replicate_2
plate14_F8	14	T98G	lapatinib	1	replicate_2
plate14_G8	14	T98G	lapatinib	1	replicate_2
plate14_H8	14	T98G	vehicle	0	replicate_2
plate14_A9	14	T98G	lapatinib	10	replicate_2
plate14_B9	14	T98G	lapatinib	10	replicate_2
plate14_C9	14	T98G	lapatinib	10	replicate_2
plate14_D9	14	T98G	lapatinib	10	replicate_2
plate14_E9	14	T98G	lapatinib	1	replicate_2
plate14_F9	14	T98G	lapatinib	1	replicate_2
plate14_G9	14	T98G	lapatinib	1	replicate_2
plate14_H9	14	T98G	vehicle	0	replicate_2
plate14_A10	14	T98G	lapatinib	10	replicate_2
plate14_B10	14	T98G	lapatinib	10	replicate_2
plate14_C10	14	T98G	lapatinib	10	replicate_2
plate14_D10	14	T98G	lapatinib	10	replicate_2
plate14_E10	14	T98G	lapatinib	1	replicate_2
plate14_F10	14	T98G	lapatinib	1	replicate_2
plate14_G10	14	T98G	lapatinib	1	replicate_2
plate14_H10	14	T98G	vehicle	0	replicate_2
plate14_A11	14	T98G	lapatinib	10	replicate_2
plate14_B11	14	T98G	lapatinib	10	replicate_2
plate14_C11	14	T98G	lapatinib	10	replicate_2
plate14_D11	14	T98G	lapatinib	10	replicate_2
plate14_E11	14	T98G	lapatinib	1	replicate_2
plate14_F11	14	T98G	lapatinib	1	replicate_2
plate14_G11	14	T98G	lapatinib	1	replicate_2
plate14_H11	14	T98G	vehicle	0	replicate_2
plate14_A12	14	T98G	lapatinib	10	replicate_2
plate14_B12	14	T98G	lapatinib	10	replicate_2
plate14_C12	14	T98G	lapatinib	10	replicate_2
plate14_D12	14	T98G	lapatinib	10	replicate_2
plate14_E12	14	T98G	lapatinib	1	replicate_2
plate14_F12	14	T98G	lapatinib	1	replicate_2
plate14_G12	14	T98G	lapatinib	1	replicate_2
plate14_H12	14	T98G	vehicle	0	replicate_2
plate16_A1	16	T98G	nintedanib	10	replicate_2
plate16_B1	16	T98G	nintedanib	10	replicate_2
plate16_C1	16	T98G	nintedanib	10	replicate_2
plate16_D1	16	T98G	nintedanib	10	replicate_2
plate16_E1	16	T98G	nintedanib	1	replicate_2
plate16_F1	16	T98G	nintedanib	1	replicate_2
plate16_G1	16	T98G	nintedanib	1	replicate_2
plate16_H1	16	T98G	vehicle	0	replicate_2
plate16_A2	16	T98G	nintedanib	10	replicate_2
plate16_B2	16	T98G	nintedanib	10	replicate_2
plate16_C2	16	T98G	nintedanib	10	replicate_2
plate16_D2	16	T98G	nintedanib	10	replicate_2
plate16_E2	16	T98G	nintedanib	1	replicate_2
plate16_F2	16	T98G	nintedanib	1	replicate_2
plate16_G2	16	T98G	nintedanib	1	replicate_2
plate16_H2	16	T98G	vehicle	0	replicate_2
plate16_A3	16	T98G	nintedanib	10	replicate_2
plate16_B3	16	T98G	nintedanib	10	replicate_2
plate16_C3	16	T98G	nintedanib	10	replicate_2
plate16_D3	16	T98G	nintedanib	10	replicate_2
plate16_E3	16	T98G	nintedanib	1	replicate_2
plate16_F3	16	T98G	nintedanib	1	replicate_2
plate16_G3	16	T98G	nintedanib	1	replicate_2
plate16_H3	16	T98G	vehicle	0	replicate_2
plate16_A4	16	T98G	nintedanib	10	replicate_2
plate16_B4	16	T98G	nintedanib	10	replicate_2
plate16_C4	16	T98G	nintedanib	10	replicate_2
plate16_D4	16	T98G	nintedanib	10	replicate_2
plate16_E4	16	T98G	nintedanib	1	replicate_2
plate16_F4	16	T98G	nintedanib	1	replicate_2
plate16_G4	16	T98G	nintedanib	1	replicate_2
plate16_H4	16	T98G	vehicle	0	replicate_2
plate16_A5	16	T98G	nintedanib	10	replicate_2
plate16_B5	16	T98G	nintedanib	10	replicate_2
plate16_C5	16	T98G	nintedanib	10	replicate_2
plate16_D5	16	T98G	nintedanib	10	replicate_2
plate16_E5	16	T98G	nintedanib	1	replicate_2
plate16_F5	16	T98G	nintedanib	1	replicate_2
plate16_G5	16	T98G	nintedanib	1	replicate_2
plate16_H5	16	T98G	vehicle	0	replicate_2
plate16_A6	16	T98G	nintedanib	10	replicate_2
plate16_B6	16	T98G	nintedanib	10	replicate_2
plate16_C6	16	T98G	nintedanib	10	replicate_2
plate16_D6	16	T98G	nintedanib	10	replicate_2
plate16_E6	16	T98G	nintedanib	1	replicate_2
plate16_F6	16	T98G	nintedanib	1	replicate_2
plate16_G6	16	T98G	nintedanib	1	replicate_2
plate16_H6	16	T98G	vehicle	0	replicate_2
plate16_A7	16	T98G	nintedanib	10	replicate_2
plate16_B7	16	T98G	nintedanib	10	replicate_2
plate16_C7	16	T98G	nintedanib	10	replicate_2
plate16_D7	16	T98G	nintedanib	10	replicate_2
plate16_E7	16	T98G	nintedanib	1	replicate_2
plate16_F7	16	T98G	nintedanib	1	replicate_2
plate16_G7	16	T98G	nintedanib	1	replicate_2
plate16_H7	16	T98G	vehicle	0	replicate_2
plate16_A8	16	T98G	nintedanib	10	replicate_2
plate16_B8	16	T98G	nintedanib	10	replicate_2
plate16_C8	16	T98G	nintedanib	10	replicate_2
plate16_D8	16	T98G	nintedanib	10	replicate_2
plate16_E8	16	T98G	nintedanib	1	replicate_2
plate16_F8	16	T98G	nintedanib	1	replicate_2
plate16_G8	16	T98G	nintedanib	1	replicate_2
plate16_H8	16	T98G	vehicle	0	replicate_2
plate16_A9	16	T98G	nintedanib	10	replicate_2
plate16_B9	16	T98G	nintedanib	10	replicate_2
plate16_C9	16	T98G	nintedanib	10	replicate_2
plate16_D9	16	T98G	nintedanib	10	replicate_2
plate16_E9	16	T98G	nintedanib	1	replicate_2
plate16_F9	16	T98G	nintedanib	1	replicate_2
plate16_G9	16	T98G	nintedanib	1	replicate_2
plate16_H9	16	T98G	vehicle	0	replicate_2
plate16_A10	16	T98G	nintedanib	10	replicate_2
plate16_B10	16	T98G	nintedanib	10	replicate_2
plate16_C10	16	T98G	nintedanib	10	replicate_2
plate16_D10	16	T98G	nintedanib	10	replicate_2
plate16_E10	16	T98G	nintedanib	1	replicate_2
plate16_F10	16	T98G	nintedanib	1	replicate_2
plate16_G10	16	T98G	nintedanib	1	replicate_2
plate16_H10	16	T98G	vehicle	0	replicate_2
plate16_A11	16	T98G	nintedanib	10	replicate_2
plate16_B11	16	T98G	nintedanib	10	replicate_2
plate16_C11	16	T98G	nintedanib	10	replicate_2
plate16_D11	16	T98G	nintedanib	10	replicate_2
plate16_E11	16	T98G	nintedanib	1	replicate_2
plate16_F11	16	T98G	nintedanib	1	replicate_2
plate16_G11	16	T98G	nintedanib	1	replicate_2
plate16_H11	16	T98G	vehicle	0	replicate_2
plate16_A12	16	T98G	nintedanib	10	replicate_2
plate16_B12	16	T98G	nintedanib	10	replicate_2
plate16_C12	16	T98G	nintedanib	10	replicate_2
plate16_D12	16	T98G	nintedanib	10	replicate_2
plate16_E12	16	T98G	nintedanib	1	replicate_2
plate16_F12	16	T98G	nintedanib	1	replicate_2
plate16_G12	16	T98G	nintedanib	1	replicate_2
plate16_H12	16	T98G	vehicle	0	replicate_2
plate17_A1	17	T98G	trametinib	10	replicate_2
plate17_B1	17	T98G	trametinib	10	replicate_2
plate17_C1	17	T98G	trametinib	10	replicate_2
plate17_D1	17	T98G	trametinib	10	replicate_2
plate17_E1	17	T98G	trametinib	1	replicate_2
plate17_F1	17	T98G	trametinib	1	replicate_2
plate17_G1	17	T98G	trametinib	1	replicate_2
plate17_H1	17	T98G	vehicle	0	replicate_2
plate17_A2	17	T98G	trametinib	10	replicate_2
plate17_B2	17	T98G	trametinib	10	replicate_2
plate17_C2	17	T98G	trametinib	10	replicate_2
plate17_D2	17	T98G	trametinib	10	replicate_2
plate17_E2	17	T98G	trametinib	1	replicate_2
plate17_F2	17	T98G	trametinib	1	replicate_2
plate17_G2	17	T98G	trametinib	1	replicate_2
plate17_H2	17	T98G	vehicle	0	replicate_2
plate17_A3	17	T98G	trametinib	10	replicate_2
plate17_B3	17	T98G	trametinib	10	replicate_2
plate17_C3	17	T98G	trametinib	10	replicate_2
plate17_D3	17	T98G	trametinib	10	replicate_2
plate17_E3	17	T98G	trametinib	1	replicate_2
plate17_F3	17	T98G	trametinib	1	replicate_2
plate17_G3	17	T98G	trametinib	1	replicate_2
plate17_H3	17	T98G	vehicle	0	replicate_2
plate17_A4	17	T98G	trametinib	10	replicate_2
plate17_B4	17	T98G	trametinib	10	replicate_2
plate17_C4	17	T98G	trametinib	10	replicate_2
plate17_D4	17	T98G	trametinib	10	replicate_2
